2006;En lisant, en écrivant;Julien Gracq;Reading, Writing;Anglais;Turtle Point Press;;
1994;Les Juifs, la mémoire et le présent;Pierre Vidal-Naquet;Los judíos, lamemoria y el presente;Espagnol;Fondo de Cultura Económica;;
2006;La Serveuse était nouvelle;Dominique Fabre;La mesera era nueva;Espagnol;Beatriz Viterbo;Argentine;Littérature
1982;L'Aiguille creuse;;宝剑峰;Chinois;;;
1933;L'Aiguille creuse;;空心石柱;Chinois;;;
1947;L'Aiguille creuse;;空心石柱;Chinois;;;
1992;L'Aiguille creuse;;空心针;Chinois;;;
1999;Chronique des sept Misères;;Chronicle of the Seven Sorrows;Anglais;University of Nebraska Press;;
1999;Chronique des sept Misères;;Chronicle of the Seven Sorrows;Anglais;Bison Books;;
2006;Les Mots étrangers;Vassilis Alexakis;Las palabras extranjeras;Espagnol;;;
1996;Au-delà des dogmes;Dalai Lama;Beyond Dogma;Anglais;North Atlantic Books;;
1997;Buffon;Jacques Roger;Buffon;Anglais;Cornell University Press;;
1998;Encore une fois, si vous permettez;Michel Tremblay;For the Pleasure of Seeing Her Again;Anglais;Talonbooks;;
1995;Enseignements essentiels;Dalai Lama;Essential Teachings by His Holiness the Dalai Lama;Anglais;North Atlantic Books;;
2007;Chemin d'Ecole;Patrick Chamoiseau;De camino a la escuela;Espagnol;;Espagne;Jeunesse
1997;Chemin d'Ecole;Patrick Chamoiseau;School Days;Anglais;University of Nebraska Press;;
1997;Chemin d'Ecole;Patrick Chamoiseau;School Days;Anglais;Bison Books;;
2004;Astérix le Gaulois;;Asterix the Gaul;Anglais;;;
2004;Astérix le Gaulois;;Asterix the Gaul;Anglais;;;
2005;L'Art de la sieste;Thierry Paquot;午睡的藝術;Chinois;二魚文化;;
1994;Boudica, Taliessen et autres poèmes;Paol Keineg;Boudica;Anglais;Burning Deck Press;;
1995;Au temps de l'antan;Patrick Chamoiseau;Creole Folktales;Anglais;The New Press;;
1997;Au temps de l'antan;Patrick Chamoiseau;Creole Folktales;Anglais;The New Press;;
2005;Dans le nu de la vie;Jean Hatzfeld;Into the Quick of Life;Anglais;Serpent´s tail;;
2007;Dans le nu de la vie;Jean Hatzfeld;Life Laid Bare;Anglais;;;
2008;Beckett avant la lettre;Brigitte Le Juez;Beckett before Beckett;Anglais;Souvenir Press;;
2007;Beckett avant la lettre;Brigitte Le Juez;Beckett : el infatigable deseo;Espagnol;Arena Libros;Espagne;Littérature
2005;Le Phénomene érotique;Jean-Luc Marion;El fenómeno erótico. Seis meditaciones;Espagnol;Literales/Cuenco de Plata;;
