2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 5/L'encrage,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 6/Colorisation des planches,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Attali Jacques,Survivre aux crises,Librairie Arthème Fayard,Sédia,520.0,Documents / Essais d'actualité,français (Algérie)
2010,ALGÉRIE,Khadra Yasmina,L'Olympe des infortunes,Robert Laffont / Julliard,Media Plus,1000.0,Littérature / Fiction,français (Algérie)
2011,ALGÉRIE,Dib Mohammed ,Simorgh,Albin Michel,Sédia,1200.0,Littérature,arabe
2013,ALGÉRIE,Bigot Gigi et Matéo Pepito,Bouche cousue,Didier Jeunesse / Rageot,Association Le Petit Lecteur,500.0,Jeunesse,arabe
2013,ALGÉRIE,Stora Benjamin,La Guerre des mémoires,Édition de l'Aube,Casbah Editions,315.0,SHS,arabe
2012,ALLEMAGNE,Xi Ling ,La Troisième Moitié,Maurice Nadeau,Verlagsbuchhandlung Liebeskind,3000.0,Littérature / Fiction,allemand (Allemagne)
2012,ALLEMAGNE,Lanzac Abel et Blain Christophe ,Quai d'Orsay,Mediatoon / Dargaud	,Reprodukt,3800.0,BD,allemand (Allemagne)
2012,ALLEMAGNE,Pedrosa Cyril,Portugal,Mediatoon / Dupuis,Reprodukt,4000.0,BD,allemand (Allemagne)
2012,ALLEMAGNE,Carrère Emmanuel,Limonov,P.O.L,Matthes&Seitz,2500.0,Littérature / Fiction,allemand (Allemagne)
2012,ALLEMAGNE,Benveniste Émile,Dernières leçons,Édition du Seuil,Diaphanes,700.0,Littérature / Fiction,allemand (Allemagne)
2012,ALLEMAGNE,Bourdieu Pierre ,Sur l'État,Édition du Seuil,Suhrkamp Verlag,2000.0,Littérature / Fiction,allemand (Allemagne)
2012,ALLEMAGNE,Nancy Jean-Luc,Ego sum,Flammarion,Diaphanes,600.0,Littérature / Essai,allemand (Allemagne)
2012,ALLEMAGNE,Laferrière Dany,L'Énigme du retour,Grasset & Fasquelle,Das Wunderhorn,1200.0,Littérature / Fiction,allemand (Allemagne)
2013,ALLEMAGNE,Lupano Wilfrid et Moreau Jérémie,Le Singe de Hartlepool,Delcourt,Avant Verlag,1790.0,BD,allemand (Allemagne)
2013,ALLEMAGNE,Deck Julia,Viviane Elisabeth Fauville,Édition de Minuit,Verlag Klaus Wagenbach,2000.0,Littérature / Fiction,allemand (Allemagne)
2013,ALLEMAGNE,Manchette Jean-Patrick,Portrait en noir,Estate Jean-Patrick Manchette,Alexander Verlag,1200.0,Littérature,allemand (Allemagne)
